"particip_num","n"
1,342
2,360
3,334
4,351
5,359
6,343
7,327
8,344
9,348
10,359
11,341
12,340
13,337
14,360
15,357
16,339
17,353
18,334
19,343
20,323
21,328
22,318
23,331
24,332
25,322
26,317
27,329
28,328
29,324
30,319
31,319
32,314
33,306
34,299
35,308
36,295
37,286
38,281
39,287
40,274
41,278
42,284
43,274
44,273
45,259
46,262
47,268
48,267
49,255
50,279
51,266
52,260
53,262
54,253
55,258
56,255
57,248
58,235
59,229
60,232
61,236
62,229
63,231
64,220
65,220
66,221
67,221
68,216
69,213
70,205
71,208
72,198
73,200
74,200
75,197
76,196
77,196
78,199
79,187
80,190
81,195
82,190
83,203
84,188
85,188
86,198
87,188
88,184
89,183
90,177
91,179
92,176
93,181
94,174
95,176
96,170
97,171
98,172
99,178
100,166
101,167
102,164
103,167
104,164
105,162
106,168
107,164
108,169
109,164
110,164
111,162
112,161
113,156
114,155
115,153
116,155
117,153
118,154
119,153
120,152
121,147
122,148
123,151
124,146
125,148
126,141
127,141
128,145
129,144
130,139
131,144
132,145
133,143
134,139
135,141
136,139
137,141
138,136
139,138
140,140
141,139
142,141
143,133
144,147
145,136
146,143
147,127
148,133
149,128
150,129
151,138
152,130
153,124
154,119
155,126
156,121
157,123
158,139
159,126
160,121
161,122
162,132
163,138
164,121
165,126
166,114
167,118
168,116
169,114
170,115
171,123
172,113
173,114
174,114
175,117
176,111
177,116
178,109
179,111
180,109
181,111
182,108
183,109
184,112
185,113
186,118
187,111
188,115
189,118
190,114
191,115
192,109
193,99
194,103
195,109
196,100
197,100
198,91
199,90
200,93
201,95
202,89
203,89
204,90
205,87
206,90
207,86
208,86
209,85
210,82
211,81
212,86
213,83
214,81
215,80
216,85
217,86
218,87
219,85
220,80
221,80
222,81
223,98
224,89
225,83
226,87
227,80
228,85
229,91
230,92
231,83
232,81
233,87
234,98
235,98
236,82
237,77
238,83
239,86
240,84
241,88
242,70
243,82
244,75
245,73
246,74
247,77
248,86
249,75
250,77
251,98
252,71
253,78
254,69
255,74
256,71
257,69
258,74
259,75
260,67
261,74
262,72
263,68
264,70
265,68
266,67
267,66
268,65
269,76
270,67
271,67
272,62
273,62
274,68
275,66
276,65
277,70
278,68
279,74
280,65
281,62
282,59
283,59
284,61
285,60
286,63
287,64
288,59
289,60
290,63
291,67
292,60
293,59
294,65
295,63
296,59
297,61
298,72
299,62
300,69
301,69
302,58
303,67
304,55
305,58
306,64
307,53
308,65
309,61
310,56
311,57
312,53
313,57
314,68
315,49
316,51
317,52
318,48
319,53
320,41
321,42
322,43
323,46
324,44
325,41
326,36
327,37
328,35
329,31
330,33
331,34
332,31
333,31
334,32
335,27
336,26
337,26
338,24
339,22
340,23
341,23
342,21
343,19
344,20
345,19
346,17
347,15
348,15
349,12
350,9
351,6
352,2
