"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0272008917019963,0.351791530944625,0.859934853420195,0.0175644364827685,0.0157884789585681
"2",2,0.0132388588476599,0.34006734006734,0.883838383838384,-0.0242097201863416,-0.0217586155039618
"3",3,0.00418767232329293,0.334935897435897,0.876602564102564,0.0138396002391435,0.0129856145866849
"4",4,-0.00553869409638983,0.329011345218801,0.886547811993517,-0.00144276077795819,-0.00121637412947151
"5",5,-0.0444019138755981,0.300653594771242,0.937908496732026,-0.0546202146958901,-0.0483884704037781
"6",6,0.0455457348878265,0.362619808306709,0.832268370607029,0.0531539811501218,0.0470587047531636
"7",7,-0.00997012727287935,0.327212020033389,0.918196994991653,-0.0231230496566043,-0.0206807059254332
"8",8,0.060169070114371,0.371428571428571,0.838095238095238,0.0503339770258064,0.045106968805136
"9",9,-0.0191309774040988,0.31953642384106,0.890728476821192,-0.0349468235263858,-0.0308317327222365
"10",10,-0.0232934138651823,0.317307692307692,0.913461538461538,-0.0236845215000384,-0.0208418861332194
"11",11,-0.00738374018585985,0.32741935483871,0.891935483870968,-0.00354846864549181,-0.00312981703032348
"12",12,0.014608588104738,0.342857142857143,0.87563025210084,0.0073161578860419,0.00706692841527604
"13",13,0.0167796088702361,0.345218800648298,0.86871961102107,0.0234383398243732,0.0208702656096132
"14",14,-0.035781034613986,0.310402684563758,0.911073825503356,-0.0785197658331064,-0.0700736831564735
"15",15,0.0329093786908559,0.355155482815057,0.862520458265139,0.0330166623609743,0.0295132043882364
"16",16,-0.011768739973303,0.325082508250825,0.917491749174917,-0.0347784657668691,-0.0310373654843701
"17",17,-0.0435304241341077,0.303986710963455,0.906976744186046,-0.04119764882249,-0.0363285829625545
"18",18,-0.0274508105724792,0.314424635332253,0.920583468395462,-0.0660786917554484,-0.0587217468701387
"19",19,0.0389041073587294,0.359143327841845,0.85172981878089,0.0301654756069314,0.027034518878101
"20",20,0.00375450157076087,0.336700336700337,0.890572390572391,-0.0225733690376446,-0.0200922027825535
"21",21,-0.0216475158858196,0.31953642384106,0.885761589403974,-0.013374522619928,-0.0120446876680697
"22",22,0.0203294353113978,0.347540983606557,0.873770491803279,-0.022669386167039,-0.0203400620828727
"23",23,-0.00718762578345113,0.327814569536424,0.884105960264901,-0.00646612840344638,-0.0056556153969854
"24",24,0.0573168215523376,0.371859296482412,0.809045226130653,0.085064412936456,0.0763428766699562
"25",25,-0.00845395479517346,0.33,0.871666666666667,-0.0165734086434152,-0.0147150703946357
"26",26,-0.0445589236405914,0.3008,0.9072,-0.00449926800248058,-0.00399148161891583
"27",27,-0.021686580845075,0.316309719934102,0.904448105436573,-0.0569729932701132,-0.050708140081931
"28",28,-0.00367263198521188,0.329489291598023,0.884678747940692,-0.00872338430851557,-0.00789586671132922
"29",29,0.00535500817279155,0.336079077429984,0.896210873146623,-0.0534418064363854,-0.047868473569196
"30",30,-0.0118930476086349,0.324013157894737,0.909539473684211,-0.0302010979248745,-0.0268956824624305
