"","sim","mean_kappa","mean_accuracy","mean_mae","mean_rho","mean_tau"
"1",1,0.0315470944697047,0.362179487179487,0.793269230769231,0.0361616039033732,0.0340997042313327
"2",2,5.42770299608216e-05,0.335473515248796,0.812199036918138,0.0643913708442228,0.0607203734035712
"3",3,-0.0289036854236026,0.312399355877617,0.85829307568438,-0.0314612859964965,-0.0296623343942932
"4",4,0.0321613549582246,0.352941176470588,0.823529411764706,-0.00273220806192989,-0.00257655780911628
"5",5,-0.0226751679536459,0.315789473684211,0.84688995215311,0.00210298131163083,0.00198273454668198
"6",6,-0.00615536228256793,0.343450479233227,0.811501597444089,-0.0158100998915788,-0.0149096444094062
"7",7,-0.0186977318803852,0.317589576547231,0.850162866449511,-0.0122364348753737,-0.0115412972251118
"8",8,-0.0084861033445675,0.33596214511041,0.826498422712934,-0.0237018188647786,-0.0223515299699996
"9",9,-0.00756700369122132,0.333876221498371,0.817589576547231,0.0290110038817785,0.0273653354916565
"10",10,-0.0209243186466914,0.333868378812199,0.821829855537721,-0.0282870680728953,-0.0266758788484603
"11",11,-0.0243333061886093,0.319422150882825,0.84430176565008,-0.0218644247858508,-0.0206156675173014
"12",12,0.0220861047236845,0.351219512195122,0.804878048780488,0.0381427356171914,0.0359617826972256
"13",13,-0.00860849876745463,0.333865814696486,0.838658146964856,-0.0544143517487268,-0.0513204732843809
"14",14,-0.0059017998282821,0.33278955954323,0.825448613376835,0.0167913830130427,0.0158377425124349
"15",15,-0.00246331798222126,0.33968253968254,0.834920634920635,-0.0628983208847868,-0.0593079632094095
"16",16,-0.0073076416388336,0.347068145800317,0.795562599049128,0.00820429961120469,0.00773824278271534
"17",17,-0.0355568283731132,0.298722044728434,0.896166134185304,-0.0978241287117285,-0.0922923253494363
"18",18,-0.0158050580818511,0.3264,0.8272,0.0157953020787897,0.0148924376344977
"19",19,-0.00461328507431699,0.317460317460317,0.850793650793651,0.0345736293721703,0.0326042289229514
"20",20,-0.0470446320868516,0.311111111111111,0.86984126984127,-0.123165406290929,-0.116132315276258
"21",21,-0.00248014708758768,0.337620578778135,0.840836012861736,-0.0729591675036798,-0.068789553024341
"22",22,-0.0268377132098352,0.308196721311475,0.865573770491803,-0.0238070315371635,-0.0224486844259214
"23",23,0.0121281247779997,0.338211382113821,0.826016260162602,0.031709401592793,0.0298963848372412
"24",24,0.00344063178312475,0.322006472491909,0.868932038834951,-0.0427668620522042,-0.040330574590716
"25",25,-0.036444822284813,0.30114566284779,0.878887070376432,-0.0537305045173871,-0.0506613453531004
"26",26,-0.0421065934444688,0.307814992025518,0.872408293460925,-0.0983787806112422,-0.0927547588553504
"27",27,-0.00950118764845602,0.321086261980831,0.854632587859425,-0.0195245107941076,-0.0184090474410391
"28",28,-0.00121307015266071,0.330112721417069,0.826086956521739,0.0455342000794301,0.0429306019092272
"29",29,0.00607533414337795,0.331699346405229,0.849673202614379,-0.027653233372965,-0.026074646736074
"30",30,0.0303665996141057,0.346089850249584,0.825291181364393,0.0293899699113669,0.027719523351075
